algorithm,column_group,R2(1-1),R2(1-2),R2(1-3),R2(1-4),R2(1-5),R2(1-6),R2(1-7),R2(1-8),R2(1-9),R2(1-10),RMSE(1-1),RMSE(1-2),RMSE(1-3),RMSE(1-4),RMSE(1-5),RMSE(1-6),RMSE(1-7),RMSE(1-8),RMSE(1-9),RMSE(1-10)
ann_savi_only,bands,0.667,0.627,0.703,0.66,0.723,0.66,0.676,0.713,0.628,0.671,6.621,6.667,6.65,6.679,6.391,6.532,6.652,6.684,6.748,6.44
ann_savi,bands,0.764,0.727,0.782,0.726,0.722,0.743,0.786,0.781,0.759,0.746,6.213,6.264,6.205,5.951,6.178,6.07,6.091,6.151,6.241,6.125
